Autor,Hora,Fecha,Texto
Telefuturo,11:17,2019-11-13,RT @TelefuturoInfo: Billetaje electrónico para no videntes. Desde este mes rige pasaje gratuito. #DiaADiaPy en vivo https://t.co/trMHT6h5x…
TelefuturoInfo,10:7,2019-11-13,Billetaje electrónico para no videntes. Desde este mes rige pasaje gratuito. #DiaADiaPy en vivo… https://t.co/Q1366tOAH1
TelefuturoInfo,13:38,2019-11-13,Billetaje electrónico para no videntes https://t.co/lHdpd9UhS8 #TelefuturoPy
Universo970py,13:53,2019-11-12,#Móvil970 @crismarpy | Realizan una recopilación de datos para la entrega de las tarjetas del billetaje electrónico… https://t.co/lZvhjcjwet
Universo970py,13:56,2019-11-12,@crismarpy @SomosGEN @senadispy "Para acceder al billetaje electrónico
Universo970py,14:6,2019-11-12,RT @SomosGEN: #2EnLaCiudad | @crismarpyCésar Martínez
___delosangeles,14:43,2019-11-13,RT @diariocronicapy: Se realizó la presentación y entrega de las tarjetas del billetaje electrónico a las personas con discapacidad visual.…
agomezv501,22:5,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy
amalmiron,14:28,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
anamararojas1,18:21,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy
angelodaraujo,22:9,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy
arrobacasco,21:42,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy
artorreani,1:22,2019-11-13,RT @LaNacionPy: Hoy se realiza la presentación y entrega del Billetaje Electrónico a las personas con discapacidad visual en la sede centra…
atozucco,15:14,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
berthaBecerra8b,21:56,2019-11-12,RT @closetojulio: SE ME ROBO MI DINERO pero por suerte tengo el billetaje electrónico para el bus 🤫https://t.co/5V3ubP3JrQ
closetojulio,13:24,2019-11-12,SE ME ROBO MI DINERO pero por suerte tengo el billetaje electrónico para el bus 🤫https://t.co/5V3ubP3JrQ
diariocronicapy,14:41,2019-11-13,Se realizó la presentación y entrega de las tarjetas del billetaje electrónico a las personas con discapacidad visu… https://t.co/nboaOP1gwN
drilente,1:1,2019-11-13,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy
drunkensnake_,16:25,2019-11-12,Demasiado quiero entender que tiene que ver el tereré con usar el billetaje electrónico. https://t.co/wnyRgmEf6w
fermin_berrios,13:58,2019-11-12,RT @LaNacionPy: Hoy se realiza la presentación y entrega del Billetaje Electrónico a las personas con discapacidad visual en la sede centra…
fernandoSP81,16:27,2019-11-12,RT @Universo970py: #Móvil970 @crismarpy | Realizan una recopilación de datos para la entrega de las tarjetas del billetaje electrónico a pe…
gaburuiz,21:32,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
gladysgulino,16:23,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
gracielatrinid4,9:47,2019-11-13,RT @IPParaguay: Billetaje Electrónico disponible desde hoy para personas con discapacidad visualhttps://t.co/K6TebNZFbG https://t.co/cokL…
hector_rubin,14:35,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
larazoncom,13:48,2019-11-12,Personas con discapacidad visual acceden desde hoy a billetaje electrónico https://t.co/7h5OAAfMi3
m_centeno85,16:12,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
mastarjetapy,14:30,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
micammendoza,16:34,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
noticiaspycom,15:11,2019-11-12,Billetaje Electrónico disponible desde hoy para personas con discapacidad visual https://t.co/AOYPAqxWTZ https://t.co/hc2LlWFvy5
noticiaspycom,15:23,2019-11-12,https://t.co/PCX4lTXhnV
nuchazo,0:19,2019-11-13,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
pabloamarillapy,17:43,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
ridanruiz,17:40,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
rnpy951fm,14:43,2019-11-12,@senadispy lanzó  hoy #BilletajeElectrónico para personas con discapacidad visual
ro_ba_,14:0,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy
senadispy,17:38,2019-11-12,60 personas se registraron en primer día de apertura de solicitudes para Billetaje Electrónico para personas con di… https://t.co/N9AmTn7tVM
senadispy,17:38,2019-11-12,tarjetas del nuevo sistema de Billetaje Electrónico.En la apertura oficial estuvieron presentes el Viceministro de… https://t.co/fF54rDCkSx
silviacardozotv,20:45,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
solcaballerom,23:38,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy
sritaPato,15:32,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy
tpestrubot,17:7,2019-11-12,llenando la lista de billetaje electronico 1
tpestrubot,17:7,2019-11-12,llenando la lista de billetaje electronico 2
tpestrubot,17:8,2019-11-12,llenando la lista de billetaje electronico 3
tpestrubot,17:8,2019-11-12,sadfasdfasdfsadfsadf billetaje electronico 5
tpestrubot,17:8,2019-11-12,no entiendo pq sigo haciendo esto billetaje electronico
tpestrubot,17:10,2019-11-12,faltan dos nomas billetaje electronico
tpestrubot,17:10,2019-11-12,ahora si llegamos a 100 billetaje electronico
yasy73,16:23,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
yasy73,10:8,2019-11-13,RT @TelefuturoInfo: Billetaje electrónico para no videntes. Desde este mes rige pasaje gratuito. #DiaADiaPy en vivo https://t.co/trMHT6h5x…
zaidaorue,13:31,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy
